time,mae_cnn,mae_lqg,real_Z2,real_Z3,real_Z4,real_Z5,real_Z6,real_Z7,real_Z8,real_Z9,real_Z10,real_Z11,cnn_Z2,cnn_Z3,cnn_Z4,cnn_Z5,cnn_Z6,cnn_Z7,cnn_Z8,cnn_Z9,cnn_Z10,cnn_Z11,lqg_Z2,lqg_Z3,lqg_Z4,lqg_Z5,lqg_Z6,lqg_Z7,lqg_Z8,lqg_Z9,lqg_Z10,lqg_Z11
0.012255191802978516,0.019344327985006824,0.0960210012394181,-0.21506461097851765,0.17854984013485686,1.0167554367132867,0.03291107989938086,0.07627542009583974,-0.445175663190569,0.14467443588172577,0.168036239062493,-0.0431336342226967,-0.46018449670175954,-0.18996436893939972,0.10529498755931854,1.0201021432876587,0.048965007066726685,0.07857047021389008,-0.4513894021511078,0.12287382036447525,0.17769840359687805,-0.053683146834373474,-0.48535096645355225,-0.15762136183012102,0.09683686340024879,0.7400444077205167,0.034433747891995437,0.05549781790896639,-0.27624560698303513,0.07378716612255316,0.1108792227965088,-0.035277386849612596,-0.24297259896861584
0.06345796585083008,0.4511643748667466,0.4099812507559979,-0.9513373418573321,0.001007706398485464,0.039293316789741684,-0.5673219430206511,-0.1451507152471987,-0.1684506565962926,0.0891286227205057,-0.10399955137939279,-0.33004969687478003,-0.49504395063881124,0.5558132529258728,-1.7937369346618652,0.5027648210525513,-0.1916387379169464,-0.12911105155944824,-0.308694064617157,0.11660219728946686,-0.0810413509607315,-0.38391250371932983,-0.6050601005554199,0.39353766173622046,-1.5555984064385342,0.36930316630474186,-0.13771934878053776,-0.09247340519487808,-0.19075924524485807,0.06898019783467756,-0.04616170327350587,-0.23148572369661824,-0.30786114813528076
0.1229255199432373,0.531862305358837,0.5409611506984231,0.38142406842412724,-2.9643810853689354,-0.016300370353074498,0.14109218134560336,-0.12099217815653054,-0.262020556362126,0.07281881214652966,0.10045114778776183,-0.29152942839031204,-0.49467968374128624,-0.8928182721138,-0.10324544459581375,0.07308496534824371,-0.5589578747749329,-0.14918649196624756,-0.1392648071050644,0.056846655905246735,-0.08519209176301956,-0.30849868059158325,-0.470404714345932,-0.7662262201340769,-0.049599233043798006,0.05620441187523227,-0.4039829976071871,-0.10836002927238496,-0.08752213549017135,0.03446327470109031,-0.05224363151114162,-0.19065490937366725,-0.2441356843385832
0.17311549186706543,0.3279361769400454,0.38856218719358937,1.0000298303718396,-4.501318065767853,0.10128707561649826,0.21899926135582615,-0.15953795119048028,-0.06445369839048257,-0.26833794275036116,-0.05986545722966473,-0.08555235364860006,-0.49493471198639566,0.3984658420085907,-2.9721484184265137,-0.034288372844457626,0.15566255152225494,-0.10795298218727112,-0.2765117287635803,0.03593755140900612,0.10179629921913147,-0.2800980508327484,-0.5205247402191162,0.20566332445397473,-2.554267375507669,-0.02415912595720647,0.10824464269451743,-0.07880959659341004,-0.16782301179748277,0.019952997295803167,0.05997227288440093,-0.1726570973667877,-0.26626193834605244
0.24451017379760742,0.37519296371237676,0.5018350105018402,2.114645663207633,-6.974997731042535,-0.33646623523487956,0.48458377690480814,-0.3300871953892478,-0.4609969543032043,0.14725588019448033,-0.5451180956498405,0.16797152154952988,-0.0697005113162261,1.1964747905731201,-5.981601715087891,-0.3170243799686432,0.2803233563899994,-0.38942229747772217,-0.08588118106126785,-0.011331383138895035,0.09512966871261597,0.1308964192867279,-0.41599997878074646,0.7526389342148794,-5.162367405696644,-0.2277283721479597,0.20344118096892433,-0.28162398346751766,-0.0525969119916997,-0.011563722195683674,0.05650319275212905,0.07747714833859234,-0.21573458473687393
0.3051474094390869,0.6573548512440578,0.6135447005028736,2.01231638281535,-3.153659774977325,-1.3537207964458033,-0.175667778315719,-0.34449321624097184,-0.4843330037792825,-0.02391117000686256,-0.7363114574971198,0.08655217453827935,0.1931083763336576,2.2322566509246826,-6.992917537689209,-0.2845068871974945,0.45904532074928284,-0.28730279207229614,-0.4460887312889099,0.12207890301942825,-0.4932882487773895,0.12816420197486877,-0.09125509113073349,1.5911372917016813,-6.073240440255618,-0.20714328775974997,0.33264178377173476,-0.20967635500708995,-0.2681851790011849,0.06920018344800738,-0.29510892844467085,0.07877954589854663,-0.05364060437057842
0.35498666763305664,0.9352076415260759,0.8316172346058426,-3.8212355265252795,-2.1890706411736924,-0.6504458130431093,-0.60094938180024,0.4122549467878565,-0.49817484359580855,0.24824425951391463,-0.5680234815513389,0.21637323169627543,0.267476138228972,1.8900295495986938,-3.166532516479492,-1.324800968170166,-0.1740773469209671,-0.31102919578552246,-0.4484928548336029,-0.0638146623969078,-0.7579371929168701,0.07917790114879608,0.11748795956373215,1.4718832204465957,-2.7935106519759385,-0.9563423956743077,-0.12219709006379731,-0.22607535148065458,-0.27614275420907786,-0.040741668556397104,-0.46216055835132597,0.04937512756362019,0.055720767370529486
0.4047825336456299,0.3719937770818223,0.40134023257957485,-2.566466056845483,-2.7452864114312483,-0.8576224961609131,-0.09630069107390238,0.0219341676472668,-0.44931512539854457,0.3489006563298944,-0.5474105730168682,0.6425522466501066,0.0416887460943606,-3.8099560737609863,-2.1674857139587402,-0.6640545129776001,-0.6004301309585571,0.4166449308395386,-0.48365318775177,0.2870689034461975,-0.5408300757408142,0.14610199630260468,0.24872705340385437,-3.347367389983494,-1.6813823751601005,-0.48757433525525745,-0.4337089247897875,0.2979618243522515,-0.2944409894558328,0.1672726728114964,-0.3355250048249513,0.08891570328980665,0.12477742014109844
0.4738955497741699,0.5265155698663597,0.5641063481839145,-2.9460062772810915,-3.924635493023415,0.6185185304685876,-0.6346912874758436,0.08087049171441062,-0.31087877580987916,-0.2473756852335143,-0.43983795130866343,0.27079531438176974,-0.04570363645629875,-1.1848022937774658,-3.0072925090789795,-0.3034447729587555,0.10114876180887222,0.1547640562057495,-0.26907506585121155,0.23541028797626495,-0.35310572385787964,0.40547800064086914,0.06320358067750931,-1.14874216047997,-2.5152729083631074,-0.22454124129797187,0.07238749047469446,0.11197331099436142,-0.16620504004456332,0.143461231646356,-0.21900943270131934,0.25129583727608135,0.031653126566149756
0.5341954231262207,0.40144991798720187,0.32448485579734176,-3.7984706157884602,-2.3810588082707302,0.48994828077685926,-0.41782363801669176,0.32438619015586373,0.08155024204458458,-0.37315147870368864,-0.392330580014255,-0.16838934571462907,-0.025131509624829157,-2.90655517578125,-3.915980339050293,0.6461015939712524,-0.622439444065094,0.08828267455101013,-0.29044094681739807,-0.24281500279903412,-0.4369363486766815,0.2634521424770355,-0.03714616224169731,-2.6576975423292946,-3.2136749511339,0.46327044360531205,-0.44769006609018624,0.06467447772731987,-0.1803746954215543,-0.14519571014453012,-0.2675436182022445,0.1640406013475806,-0.017025760546850444
